2021/08/10 10:44:36 [error] 1519#1519: *22 upstream timed out (110: Connection timed out) while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock", host: "laravel-app"
2021/08/12 10:16:02 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET /api/article-json?slug=hic-porro-fugiat-cumque-dolor-corporis HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/hic-porro-fugiat-cumque-dolor-corporis"
2021/08/12 10:16:06 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "PUT /api/article-views-increment HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/hic-porro-fugiat-cumque-dolor-corporis"
2021/08/12 10:16:06 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET /_debugbar/open?op=get&id=Xf23541cb5d46f53837b2483abd250224 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/hic-porro-fugiat-cumque-dolor-corporis"
2021/08/12 10:16:12 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "PUT /api/article-likes-increment HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/hic-porro-fugiat-cumque-dolor-corporis"
2021/08/12 10:16:12 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET /_debugbar/open?op=get&id=X4e1788b472bb39e0725e91237f5731cc HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/hic-porro-fugiat-cumque-dolor-corporis"
2021/08/12 10:16:20 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET / HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/hic-porro-fugiat-cumque-dolor-corporis"
2021/08/12 10:16:28 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET /articles/repudiandae-iusto-tempora-nihil-dolores-accusamus-qui HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/"
2021/08/12 10:16:28 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET /api/article-json?slug=repudiandae-iusto-tempora-nihil-dolores-accusamus-qui HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/repudiandae-iusto-tempora-nihil-dolores-accusamus-qui"
2021/08/12 10:16:34 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "PUT /api/article-views-increment HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/repudiandae-iusto-tempora-nihil-dolores-accusamus-qui"
2021/08/12 10:16:34 [error] 1532#1532: *10 FastCGI sent in stderr: "PHP message: Xdebug: [Step Debug] Could not connect to debugging client. Tried: localhost:9003 (through xdebug.client_host/xdebug.client_port) :-(" while reading response header from upstream, client: 127.0.0.1, server: laravel-app, request: "GET /_debugbar/open?op=get&id=X92065c6d722e4167c70f1797a09be3f3 HTTP/1.1", upstream: "fastcgi://unix:/var/run/php/php8.0-fpm.sock:", host: "laravel-app", referrer: "http://laravel-app/articles/repudiandae-iusto-tempora-nihil-dolores-accusamus-qui"
